model,target,MAE,RMSE,R2
Hybrid XGBoost,x_error,2.1898630767094622,2.7957560546793,-0.047393864505928196
Hybrid XGBoost,y_error,1.8363581104369842,2.4261241292010567,-0.07574995507353455
Hybrid XGBoost,z_error,2.6807443631596843,3.4099625335827786,-0.04496556809606633
Hybrid XGBoost,satclockerror,1.520887897376595,2.221394934420731,-0.25203395987901156
GRU,x_error,2.596788668871886,3.261813067533047,-0.4257048068629843
GRU,y_error,2.261591207274755,2.779954888878899,-0.41241005091943883
GRU,z_error,2.8331970699120927,3.6492975230506253,-0.19679925640524365
GRU,satclockerror,2.112830867194152,2.61597996253375,-0.7363344444112645
LSTM,x_error,2.3710716578499316,3.0588881103011922,-0.2538300094772026
LSTM,y_error,2.074855253044869,2.640022491883053,-0.2737979806999853
LSTM,z_error,3.0429294096510398,3.8160806239355636,-0.30869321052064724
LSTM,satclockerror,2.24942364431634,2.728494531784194,-0.8889076690132369
