horizon_minutes,x_error_AE,y_error_AE,z_error_AE,satclockerror_AE,x_error_cumulative_MAE,y_error_cumulative_MAE,z_error_cumulative_MAE,satclockerror_cumulative_MAE
15,3.8293145,3.3588398,0.3879006,1.3014035,3.8293144702911377,3.358839750289917,0.38790059089660645,1.301403522491455
30,4.09708,3.8026497,0.6776161,1.2992363,3.963197350502014,3.580744743347168,0.532758355140686,1.3003199100494385
45,4.729073,4.3597975,0.40366203,1.1533732,4.218489249547322,3.8404289881388345,0.4897262454032898,1.2513376871744792
60,4.9583964,4.594102,0.26444632,1.1077902,4.403466045856476,4.0288472175598145,0.433406263589859,1.2154508233070374
75,5.2899976,4.9647207,0.564114,1.1561022,4.580772352218628,4.216021919250489,0.4595478057861328,1.2035810947418213
90,5.6010623,5.384621,0.14672995,1.2334092,4.750820676485698,4.410788456598918,0.40741149584452313,1.2085524400075276
105,5.830376,5.2544274,0.015623212,1.472729,4.905042886734009,4.531308310372489,0.35144174098968506,1.2462919439588274
120,6.266574,5.601736,0.15868974,1.4129316,5.075234264135361,4.665111780166626,0.3273477405309677,1.267121896147728
135,6.4369807,5.799179,0.10463452,1.7995417,5.226539426379734,4.79111925760905,0.30260182751549614,1.3262796534432306
150,5.7611,4.95286,0.568135,1.6296856,5.279995465278626,4.807293319702149,0.3291551470756531,1.3566202521324158
165,5.1689806,4.459353,0.9239559,1.6895254,5.2699032046578145,4.775662378831343,0.3832279443740845,1.3868843533776023
180,4.3027735,4.0191927,1.2914478,1.3519455,5.189309060573578,4.712623238563538,0.4589129288991292,1.3839727838834126
195,3.6697898,3.1700788,1.5933671,1.4460517,5.0724229629223165,4.593965970552885,0.5461786343501165,1.3887480864158044
210,2.3458748,2.6845837,1.9411788,1.3415034,4.877669521740505,4.457581520080566,0.6458215032305036,1.3853734646524702
225,1.959106,2.1711233,2.0148044,1.3721803,4.683098618189494,4.305150969823202,0.7370870272318523,1.384493923187256
240,1.2596608,1.2636775,2.17204,1.1980375,4.469133757054806,4.1150588765740395,0.8267715871334076,1.3728403970599174
255,0.5523516,0.7018938,2.4796655,1.0260055,4.238734806285185,3.9142844606848324,0.9240006418789134,1.352438344674952
