horizon_minutes,x_error_AE,y_error_AE,z_error_AE,satclockerror_AE,x_error_cumulative_MAE,y_error_cumulative_MAE,z_error_cumulative_MAE,satclockerror_cumulative_MAE
15,3.7506752,3.735215,0.40019038,2.1162958,3.7506752014160156,3.735214948654175,0.4001903831958771,2.11629581451416
30,4.089142,3.9534035,0.6250001,2.0308707,3.9199085235595703,3.8443092107772827,0.5125952512025833,2.073583245277405
45,4.505154,4.018029,0.5987391,2.080937,4.11499039332072,3.9022158781687417,0.5413098633289337,2.0760344664255777
60,4.6702156,4.177466,0.48868853,2.4096284,4.253796696662903,3.9710283875465393,0.5281545296311378,2.1594329476356506
75,4.8939166,4.4738836,0.32458603,2.4643126,4.3818206787109375,4.071599435806275,0.48744083046913145,2.220408868789673
90,5.35534,4.5255327,0.275527,2.352043,4.544073899586995,4.147254983584086,0.4521218587954839,2.2423478762308755
105,5.4017954,4.9426756,0.19682324,2.240628,4.666605540684292,4.260886498859951,0.41565062744276865,2.242102180208479
120,5.4408765,5.054245,0.034849644,2.3693686,4.763389408588409,4.360056310892105,0.368050504475832,2.2580104768276215
135,5.878191,5.26807,0.21854377,2.1733468,4.887256251441108,4.460946745342678,0.3514386448595259,2.2486033969455295
150,5.2293105,4.702077,0.40910363,2.3023205,4.921461677551269,4.485059762001038,0.35720514357089994,2.2539751052856447
165,4.2912564,4.4872503,0.62687397,1.8616326,4.864170291207054,4.4852589043703945,0.3817204914309762,2.218307603489269
180,3.7817614,3.4055126,0.99213064,1.8584285,4.77396955092748,4.395280043284099,0.43258800357580185,2.188317676385244
195,3.0860593,3.1224632,1.0685508,1.6985663,4.644130303309514,4.297371057363657,0.48150822061758775,2.1506444949370165
210,2.3261118,2.2879744,1.7393227,1.4147433,4.478557552610125,4.153842721666608,0.5713521093130112,2.0980801241738454
225,1.671093,1.6998591,1.9049366,0.9929441,4.291393248240153,3.9902438163757323,0.660257738828659,2.0244043906529745
240,0.6895771,1.1481509,2.3364923,0.9044848,4.066279739141464,3.812613010406494,0.765022398903966,1.9544094167649746
255,0.008321285,0.8692081,2.485507,0.6303842,3.8275763006771313,3.639471544938929,0.8662273761104134,1.8765255808830261
270,1.1337813,0.03002292,3.0451849,0.1348083,3.677921023633745,3.4389466212855444,0.9872805691427655,1.779763509829839
285,2.2375162,0.92171454,4.049718,0.50286424,3.602110241588793,3.306460722496635,1.1484614814582623,1.7125582851861652
300,3.3068438,1.8552027,4.419774,0.74368525,3.5873469173908235,3.2338978201150894,1.3120271101593972,1.6641146332025527
315,4.487059,2.56771,5.255016,0.99867165,3.6301903554371426,3.202174586909158,1.4997884787264324,1.6324268721398854
330,5.5852213,3.2278004,5.3894553,1.3448596,3.719055397944017,3.203339395197955,1.6765915168957277,1.619355632500215
345,6.4937496,4.1061077,6.2949224,2.0017254,3.839694277099941,3.2425901915716087,1.8773885097192682,1.635980406533117
360,2.7991374,4.777756,7.0959673,2.1766448,3.796337738633156,3.3065554425120354,2.094829292347034,1.6585080896814663
375,4.709994,5.6353106,7.7981925,2.5551448,3.832883982658386,3.399705650806427,2.322963820695877,1.6943735575675964
390,0.17626488,4.953339,6.437653,2.851099,3.6922447864825907,3.459460783463258,2.481221099312489,1.7388629982104669
405,6.6715755,4.339793,5.391371,3.2316039,3.8025903701782227,3.492065687974294,2.589004420571857,1.7941496968269348
420,5.825139,3.7908125,3.7729578,3.8315887,3.874824251447405,3.502735216702734,2.6312884699021066,1.8669153771230154
435,4.738193,3.0636497,2.3766775,4.0845957,3.9045955888156234,3.4875943352436196,2.6225087817372947,1.9433871117131463
450,3.763451,2.6497786,1.3554001,4.3596554,3.8998907725016276,3.4596671442190807,2.580271825194359,2.023929387331009
465,2.4522638,1.5749081,0.39042616,4.644592,3.8531931292626167,3.3988684665772224,2.5096316424108323,2.108466884782237
480,1.1390022,1.0056465,0.89807653,5.044249,3.768374662846327,3.324080279096961,2.45927054528147,2.200210077688098
495,0.58474416,0.17747292,2.2493439,5.3439784,3.6719010111057395,3.2287285409190436,2.452909130941738,2.2954757845763005
510,0.08155878,0.11810128,1.8984715,5.256562,3.5663027101579834,3.137239503728993,2.4366021410507313,2.382566562470268
525,0.062125765,0.15574333,2.18619,5.288177,3.4661833688616754,3.0520538987857955,2.4294475053037914,2.4655840039253234
540,0.15288576,0.09582609,2.1509368,4.8050814,3.374147324305442,2.969936459635695,2.4217110979888172,2.5305700418021946
555,0.36879328,0.1024982,2.2319431,4.900724,3.292921539295364,2.892438128389217,2.4165822340024485,2.594628255109529
570,0.46716428,0.038564116,2.0929446,4.564223,3.2185595061041807,2.8173361806885193,2.408065454740273,2.6464596908343467
585,0.49634352,0.56765485,1.7243139,4.3557897,3.148759096287764,2.759652043955448,2.3905333624436307,2.6902886644387856
600,0.80255824,0.41675013,1.7952856,4.112024,3.0901040749624373,2.7010794961825013,2.3756521679461002,2.7258320435881616
615,0.7353133,0.50106084,1.4308848,3.96314,3.032670153532086,2.6474205046528723,2.3526090623402016,2.756010286691712
630,0.07751939,0.08976203,2.4293046,3.006392,2.962309420995769,2.5865238743523755,2.354435146564529,2.7619717561063313
645,0.29779506,0.2968974,3.0884671,2.2552488,2.9003439706771874,2.533276747305726,2.3715056576008022,2.7501875009647634
660,0.93565524,0.59154546,3.920843,1.5679955,2.8556919539855286,2.489146490835331,2.4067178673364897,2.723319502039389
675,1.6420794,1.1104283,4.519148,0.61706066,2.828722785082128,2.4585083095563784,2.4536607563495636,2.676513750023312
690,2.3909886,1.7985867,5.609974,0.5683524,2.819206824283237,2.444162188178819,2.522276259634806,2.6306841554849045
705,2.528087,2.0565152,6.6295342,0.37874317,2.8130127833561693,2.4359143802777248,2.6096647273986897,2.582770517531862
720,3.570767,2.427256,7.0742364,1.4367628,2.828799327990661,2.4357339995913208,2.702676637098193,2.558895356953144
735,4.0905,3.218288,0.26083732,1.8232355,2.8545483188057434,2.4517044882689203,2.652843181576048,2.543881890725116
750,1.4446125,3.9391973,0.28207856,1.6914415,2.8263496024906636,2.4814543445408344,2.605427889227867,2.526833083629608
765,0.08629,0.5805433,0.109050035,2.2355883,2.7726229436549485,2.44418157856254,2.556479303860197,2.5211224018358718
780,0.5436183,0.27525735,1.683195,1.7333316,2.7297574701504064,2.402471497225074,2.5396853748422403,2.5059725779753466
795,0.60365415,2.771524,10.56128,1.7660342,2.689642313094634,2.409434751097886,2.6910362215536945,2.4920114773624347
810,2.6173086,0.52611583,6.4150634,0.63498384,2.688302800197292,2.374558474868536,2.759999687472979,2.457622076626177
825,7.5059295,0.17576373,4.582476,3.96156,2.775896012376655,2.334580388529734,2.793135622956536,2.4849664027040657
840,2.3193347,2.8042774,3.3951964,1.6589627,2.767743132609342,2.3429678355210592,2.803886708936521,2.470216337059225
855,0.421157,0.6650963,0.76007557,1.3758641,2.7265749548872313,2.3135314924936545,2.768030373150842,2.451017175850115
870,2.7156434,3.7561884,5.8866453,1.0538588,2.7263864799049395,2.3384048873237493,2.821799596321994,2.426928237594407
885,1.3083342,2.1812701,4.0826535,0.65845484,2.7023516960315783,2.3357415862255175,2.84317000185029,2.3969541121337374
900,1.5458317,0.95211065,0.054777384,1.0045536,2.6830763624360165,2.3126810705910126,2.7966967915495236,2.373747436205546
915,0.421231,2.7735734,6.4311757,3.2499003,2.6459969302914184,2.3202366825254237,2.8562784131433143,2.388110598579782
930,0.80052155,0.804394,2.0352836,0.2296306,2.616231198392568,2.2957876071093546,2.843036560762313,2.353296405125049
945,4.315044,0.5109879,7.181415,3.478401,2.643196479786956,2.267457452676599,2.9118997118775805,2.3711552073558173
960,1.5956688,2.0000923,2.6220593,0.13611901,2.626828859676607,2.2632798716658726,2.9073709561489522,2.3362327667418867
975,1.6610024,2.3429024,0.7810946,0.58513886,2.611969991028309,2.264504833977956,2.874659012372677,2.3092928604437755
990,2.0852182,0.53486145,3.039993,1.0230298,2.603988903151317,2.238298115969607,2.8771640735142157,2.2898040262587145
1005,1.474617,1.1780216,2.0471404,0.70506036,2.587132606154947,2.222473092599591,2.8647756598778624,2.266151135759567
1020,5.2262244,4.026956,2.1108592,1.6951504,2.6259427799240633,2.249009607140632,2.853688652462819,2.2577540657537827
1035,0.6812833,0.838605,5.1251054,1.1411192,2.597759309130302,2.2285689604671104,2.8866077354852706,2.2415709523619087
1050,2.1544654,1.7636862,1.5895779,1.9395868,2.5914265395275184,2.2219277778906483,2.8680787380252566,2.237256892451218
1065,0.7718512,2.347414,2.5241408,6.0315075,2.565798717590285,2.223695189705197,2.8632345422053,2.2906970417415593
1080,4.4586105,1.1669818,3.4032748,3.9156582,2.5920877706052528,2.2090186150744557,2.8707351009878845,2.3132659472111197
1095,0.61560076,0.0559901,3.9046092,2.3719945,2.5650126061415017,2.1795250737707907,2.884897759924196,2.3140704478711296
1110,5.6066685,0.05186236,4.71815,1.984263,2.606116063792158,2.150772874923171,2.909671440720558,2.309613589700815
1125,2.5072136,1.5155959,1.1938033,2.283799,2.6047973641753197,2.142303848763307,2.8867931989828746,2.3092693942785263
1140,3.7225592,2.9475124,2.4955347,6.9400816,2.6195047569314114,2.152898697966808,2.8816450602914156,2.3702011337797892
1155,0.41707388,5.311994,8.246554,2.1736708,2.590901758473415,2.1939259106656173,2.9513192072317196,2.3676487913766464
1170,0.0355255,0.12780723,3.1458035,1.9404966,2.5581405244003506,2.167437209628331,2.953812594979237,2.3621724807681184
1185,0.8857393,0.2206214,2.551715,2.4323099,2.5369708889836,2.142793971620783,2.948722750702991,2.36306029577044
1200,0.26968065,0.13559937,3.0762002,1.85703,2.5086297609843315,2.117704039160162,2.95031621940434,2.356734917499125
1215,3.2956195,3.0651922,4.4137754,1.8005475,2.518345683537148,2.1294014241408417,2.9683836172392337,2.3498684059322614
1230,4.2112803,4.2616634,5.3853264,1.9133953,2.5389912282003135,2.1554046194182663,2.997858529047268,2.3445455630014584
1245,3.3449843,4.230526,1.588424,1.3288168,2.5487019880169846,2.180406081478998,2.980877389749849,2.332307866718396
1260,0.5428171,2.1842337,6.080775,0.35658848,2.5248224062046836,2.1804516479550373,3.017780930158638,2.3087873978628997
1275,0.38560128,1.5321476,5.5617485,3.9601722,2.4996550988625077,2.1728245420490993,3.047709960446638,2.3282154540805258
1290,1.3039712,1.6106038,5.248164,5.4923353,2.4857517973801424,2.166287091668955,3.0732966373826183,2.365007545539113
1305,0.8413634,0.13449514,5.3766356,4.2127304,2.466850780978285,2.1429331611799096,3.0997717973144576,2.386245739357225
1320,0.13088048,0.9403669,3.7456002,0.2845298,2.440305663865398,2.129267635755241,3.1071107567033986,2.362362603741613
1335,1.1726931,2.0738049,0.21873975,0.19813874,2.426062826443924,2.1286444584472797,3.0746571498640467,2.3380454817179883
1350,1.8031471,1.326187,3.9521282,0.5617701,2.4191415403452186,2.1197282646265294,3.0844068278868995,2.318309088382456
1365,2.2573988,1.6418402,6.5483723,0.702835,2.417364148075109,2.1144767476470916,3.1224723821812934,2.300556626129936
1380,0.66079265,0.10877311,1.323776,0.60813004,2.3982709796046433,2.0926756211758955,3.102921334621699,2.2821606849522693
1395,2.3651857,2.1134043,1.6954846,1.5638922,2.397915224314377,2.092898509915798,3.087787606703338,2.27443736839679
1410,0.8447856,1.2591113,1.1345527,0.96537584,2.3813925684290997,2.084028433057222,3.067008512134248,2.2605111819315464
1425,1.4009058,1.2125773,0.7794956,1.207195,2.371071655577735,2.0748552636880624,3.0429294288158415,2.249423643632939
